,year,week,away_team,away_off_epa,away_def_epa,away_qb_epa,away_off_dvoa,away_def_dvoa,away_dsr,away_ay/a,away_nprg,home_team,home_off_epa,home_def_epa,home_qb_epa,home_off_dvoa,home_def_dvoa,home_dsr,home_ay/a,home_nprg,result
0,1999,1,ARI,-0.1246764438735632,-0.2507849192967213,-0.1246764438735632,-8.238405536941926,-17.582923245404153,0.05627425614489004,3.18,0.0,PHI,-0.2507849192967213,-0.1246764438735632,-0.2507849192967213,-17.582923245404153,-8.238405536941926,0.06482465462274177,1.3666666666666667,0.0,False
1,1999,1,BUF,-0.2095255675294118,0.1033715656451613,-0.2095255675294118,-14.525644645091337,8.659734387251902,0.0815347721822542,4.8936170212765955,0.0,IND,0.1033715656451613,-0.2095255675294118,0.1033715656451613,8.659734387251902,-14.525644645091337,0.08869814020028613,7.090909090909091,0.0,True
2,1999,1,CAR,-0.3502040304107143,-0.20468060707575758,-0.3502040304107143,-24.949784522942675,-14.166637698063754,0.061269146608315096,4.666666666666667,0.0,NO,-0.20468060707575758,-0.3502040304107143,-0.20468060707575758,-14.166637698063754,-24.949784522942675,0.05709342560553633,5.846153846153846,0.0,True
3,1999,1,CIN,0.17375237500000001,0.03988854192727275,0.17375237500000001,13.874885209949277,3.955702899058994,0.08027079303675048,3.972972972972973,0.0,TEN,0.03988854192727275,0.17375237500000001,0.12239265647272728,3.955702899058994,13.874885209949277,0.07670850767085077,10.470588235294118,0.0,True
4,1999,1,DAL,0.27799203620454543,0.20056546108219178,0.27799203620454543,21.598944649899522,15.861709306211026,0.06591760299625468,6.54,0.0,WAS,0.20056546108219178,0.27799203620454543,0.20056546108219178,15.861709306211026,21.598944649899522,0.07199211045364892,11.722222222222221,0.0,False
5,1999,1,DET,-0.11610743652238803,-0.18362961526666666,-0.11610743652238803,-7.603450267929966,-12.606779289811044,0.0681586978636826,7.451612903225806,0.0,SEA,-0.18362961526666666,-0.11610743652238803,-0.10766628093333334,-12.606779289811044,-7.603450267929966,0.06928406466512702,6.54054054054054,0.0,False
6,1999,1,CHI,-0.09820444859210524,0.04657186406557378,-0.09820444859210524,-6.276855943579013,4.450930692933688,0.10039630118890357,7.541666666666667,0.0,KC,0.04657186406557378,-0.09820444859210524,0.04657186406557378,4.450930692933688,-6.276855943579013,0.10338983050847457,6.0,0.0,True
7,1999,1,DEN,0.09502830033333333,0.33733878541071427,0.09502830033333333,8.04150638797456,25.996482143203263,0.09326424870466321,7.857142857142857,0.0,MIA,0.33733878541071427,0.09502830033333333,0.33733878541071427,25.996482143203263,8.04150638797456,0.10526315789473684,11.08695652173913,0.0,False
8,1999,1,ATL,0.08617025430508476,0.11147626921304347,0.16682499159322037,7.385133628763945,9.260285188915185,0.09409888357256778,9.393939393939394,0.0,MIN,0.11147626921304347,0.08617025430508476,0.11147626921304347,9.260285188915185,7.385133628763945,0.08571428571428572,6.181818181818182,0.0,False
9,1999,1,NE,0.014190813593220355,-0.04132342657971014,0.014190813593220355,2.0515257477689146,-2.0620264827777737,0.07951482479784366,9.84375,0.0,NYJ,-0.04132342657971014,0.014190813593220355,-0.04132342657971014,-2.0620264827777737,2.0515257477689146,0.088348271446863,5.095238095238095,0.0,False
10,1999,1,NYG,-0.3901015683653846,-0.46455522795774645,-0.3901015683653846,-27.906154019048696,-33.42309915843052,0.06624203821656051,3.5,0.0,TB,-0.46455522795774645,-0.3901015683653846,-0.46455522795774645,-33.42309915843052,-27.906154019048696,0.07513227513227513,0.6363636363636364,0.0,False
11,1999,1,GB,0.06757525827536233,0.1123544325710145,0.06757525827536233,6.007262164491074,9.32535625588311,0.07894736842105263,5.914893617021277,0.0,LV,0.1123544325710145,0.06757525827536233,0.1123544325710145,9.32535625588311,6.007262164491074,0.0785876993166287,5.2,0.0,True
12,1999,1,CLE,-0.8229169282142857,0.3021669144333333,-0.8229169282142857,-59.97735923369678,23.390280061344377,0.10108303249097472,-2.0,0.0,PIT,0.3021669144333333,-0.8229169282142857,0.3021669144333333,23.390280061344377,-59.97735923369678,0.1066350710900474,9.666666666666666,0.0,False
13,1999,1,JAX,-0.028683834522388058,-0.5207485856833334,-0.028683834522388058,-1.1254447707947959,-37.586973351681394,0.06760847628657922,8.636363636363637,0.0,SF,-0.5207485856833334,-0.028683834522388058,-0.5207485856833334,-37.586973351681394,-1.1254447707947959,0.06012024048096192,0.15789473684210525,0.0,True
14,1999,2,ARI,-0.25686124166176466,-0.26325183826865667,-0.25686124166176466,-18.03317293522037,-18.506710046507774,0.06931702344546381,-1.4,0.0,MIA,-0.26325183826865667,-0.25686124166176466,-0.2075549800597015,-18.506710046507774,-18.03317293522037,0.07227615965480043,4.314285714285714,0.0,True
15,1999,2,ATL,-0.3395881986470588,-0.1043381928358209,-0.3395881986470588,-24.16316151784592,-6.731360539818496,0.06427221172022685,3.5853658536585367,0.0,DAL,-0.1043381928358209,-0.3395881986470588,-0.1043381928358209,-6.731360539818496,-24.16316151784592,0.07639680729760548,0.7916666666666666,0.0,True
16,1999,2,CLE,-0.09844086167346938,0.15962577535584413,-0.09844086167346938,-6.294373927345818,12.828117654539358,0.08180300500834725,4.8125,0.0,TEN,0.15962577535584413,-0.09844086167346938,0.15962577535584413,12.828117654539358,-6.294373927345818,0.09948320413436693,8.25,0.0,True
